timestamp,RPM,TPS,Fuel Open Time,Ignition Angle,Driven Wheel Speed #1,Driven Wheel Speed #2,Non-Driven Wheel Speed #1,Non-Driven Wheel Speed #2,Barometer,MAP,Lambda,Pressure Type,Analog Input #1,Analog Input #2,Analog Input #3,Analog Input #4,Analog Input #5,Analog Input #6,Analog Input #7,Analog Input #8,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Driven Avg Wheel Speed,Non-Driven Avg Wheel Speed,Ignition Compensation,Ignition Cut Percentage,Battery Volt,Air Temp,Coolant Temp,Temp Type
1713924911.5647104,1819.0,0.0,2.33,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.565286,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.5760796,,,,,,,,,14.7,12.41,0.96,KPA,,,,,,,,,,,,,,,,,,,,
1713924911.6146858,1909.0,0.0,2.32,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.6246934,,,,,,,,,14.7,12.68,0.96,KPA,,,,,,,,,,,,,,,,,,,,
1713924911.6346688,,,,,,,,,,,,,1.55,2.09,0.01,0.57,,,,,,,,,,,,,,,,
1713924911.6446912,,,,,,,,,,,,,,,,,0.01,0.65,0.01,0.04,,,,,,,,,,,,
1713924911.6547036,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
1713924911.6552835,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1713924911.6646862,1857.0,0.0,2.33,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.6652634,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.6749935,,,,,,,,,14.7,12.45,0.96,KPA,,,,,,,,,,,,,,,,,,,,
1713924911.7146854,1821.0,0.0,2.32,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.7246754,,,,,,,,,14.7,12.65,0.96,KPA,,,,,,,,,,,,,,,,,,,,
1713924911.7346628,,,,,,,,,,,,,1.52,2.09,0.01,0.57,,,,,,,,,,,,,,,,
1713924911.7446823,,,,,,,,,,,,,,,,,0.01,0.65,0.01,0.04,,,,,,,,,,,,
1713924911.7547257,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
1713924911.7552772,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1713924911.7646806,1785.0,0.0,2.32,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.765258,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.7746673,,,,,,,,,14.7,12.55,0.96,KPA,,,,,,,,,,,,,,,,,,,,
1713924911.8146906,1831.0,0.0,2.32,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.824665,,,,,,,,,14.7,12.75,0.96,KPA,,,,,,,,,,,,,,,,,,,,
1713924911.8346598,,,,,,,,,,,,,1.55,2.09,0.01,0.57,,,,,,,,,,,,,,,,
1713924911.8446689,,,,,,,,,,,,,,,,,0.01,0.65,0.01,0.04,,,,,,,,,,,,
1713924911.8546846,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
1713924911.855263,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
1713924911.864666,1934.0,0.0,2.33,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.8652434,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1713924911.8746543,,,,,,,,,14.7,12.59,0.96,KPA,,,,,,,,,,,,,,,,,,,,
