timestamp,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Driven Avg Wheel Speed,Non-Driven Avg Wheel Speed,Ignition Compensation,Ignition Cut Percentage,RPM,TPS,Fuel Open Time,Ignition Angle,Driven Wheel Speed #1,Driven Wheel Speed #2,Non-Driven Wheel Speed #1,Non-Driven Wheel Speed #2,Barometer,MAP,Lambda,Pressure Type,Analog Input #1,Analog Input #2,Analog Input #3,Analog Input #4,Analog Input #5,Analog Input #6,Analog Input #7,Analog Input #8,Battery Volt,Air Temp,Coolant Temp,Temp Type
1721152433.697667,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152433.6982355,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152433.7076256,,,,,,,,,1858.0,2.0,1.73,11.4,,,,,,,,,,,,,,,,,,,,
1721152433.708196,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152433.717631,,,,,,,,,,,,,,,,,14.7,12.73,1.04,KPA,,,,,,,,,,,,
1721152433.757634,,,,,,,,,1794.0,2.0,1.72,11.4,,,,,,,,,,,,,,,,,,,,
1721152433.7676256,,,,,,,,,,,,,,,,,14.7,12.92,1.04,KPA,,,,,,,,,,,,
1721152433.7776232,,,,,,,,,,,,,,,,,,,,,1.47,2.69,0.01,0.51,,,,,,,,
1721152433.7876196,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152433.7976453,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152433.798233,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152433.807634,,,,,,,,,1823.0,2.0,1.72,11.4,,,,,,,,,,,,,,,,,,,,
1721152433.8082159,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152433.817643,,,,,,,,,,,,,,,,,14.7,12.73,1.04,KPA,,,,,,,,,,,,
1721152433.857634,,,,,,,,,1751.0,2.0,1.72,11.4,,,,,,,,,,,,,,,,,,,,
1721152433.867619,,,,,,,,,,,,,,,,,14.7,12.93,1.04,KPA,,,,,,,,,,,,
1721152433.8776162,,,,,,,,,,,,,,,,,,,,,1.43,2.69,0.01,0.51,,,,,,,,
1721152433.8876085,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152433.8976338,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152433.8982177,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152433.9076188,,,,,,,,,1773.0,2.0,1.72,17.4,,,,,,,,,,,,,,,,,,,,
1721152433.9081886,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152433.9176326,,,,,,,,,,,,,,,,,14.7,12.84,1.04,KPA,,,,,,,,,,,,
1721152433.957613,,,,,,,,,1754.0,2.0,1.72,17.4,,,,,,,,,,,,,,,,,,,,
1721152433.9676094,,,,,,,,,,,,,,,,,14.7,12.93,1.04,KPA,,,,,,,,,,,,
1721152433.9776006,,,,,,,,,,,,,,,,,,,,,1.48,2.69,0.01,0.51,,,,,,,,
1721152433.9876065,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152433.9976234,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152433.9982078,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.007616,,,,,,,,,1835.0,2.0,1.72,17.4,,,,,,,,,,,,,,,,,,,,
1721152434.0081975,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.0176423,,,,,,,,,,,,,,,,,14.7,12.72,1.04,KPA,,,,,,,,,,,,
1721152434.0576189,,,,,,,,,1755.0,2.0,1.72,14.6,,,,,,,,,,,,,,,,,,,,
1721152434.0676093,,,,,,,,,,,,,,,,,14.7,12.93,1.04,KPA,,,,,,,,,,,,
1721152434.0776095,,,,,,,,,,,,,,,,,,,,,1.44,2.69,0.01,0.51,,,,,,,,
1721152434.0876029,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.097624,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.098235,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.1076033,,,,,,,,,1805.0,2.0,1.72,14.6,,,,,,,,,,,,,,,,,,,,
1721152434.1081853,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.1176186,,,,,,,,,,,,,,,,,14.7,12.79,1.04,KPA,,,,,,,,,,,,
1721152434.1276026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,100.6,206.8,C
1721152434.1576018,,,,,,,,,1728.0,2.0,1.72,14.6,,,,,,,,,,,,,,,,,,,,
1721152434.167602,,,,,,,,,,,,,,,,,14.7,12.85,1.04,KPA,,,,,,,,,,,,
1721152434.1775994,,,,,,,,,,,,,,,,,,,,,1.45,2.68,0.01,0.51,,,,,,,,
1721152434.187604,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.199107,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.1996932,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.2075977,,,,,,,,,1738.0,2.0,1.72,16.3,,,,,,,,,,,,,,,,,,,,
1721152434.208179,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.2176266,,,,,,,,,,,,,,,,,14.7,12.84,1.04,KPA,,,,,,,,,,,,
1721152434.257604,,,,,,,,,1760.0,2.0,1.72,16.3,,,,,,,,,,,,,,,,,,,,
1721152434.267605,,,,,,,,,,,,,,,,,14.7,12.85,1.04,KPA,,,,,,,,,,,,
1721152434.2776034,,,,,,,,,,,,,,,,,,,,,1.45,2.69,0.01,0.51,,,,,,,,
1721152434.2876189,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.2976973,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.298287,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.307618,,,,,,,,,1858.0,2.0,1.73,16.3,,,,,,,,,,,,,,,,,,,,
1721152434.3081892,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.3176246,,,,,,,,,,,,,,,,,14.7,12.77,1.04,KPA,,,,,,,,,,,,
1721152434.3576128,,,,,,,,,1769.0,2.0,1.72,16.3,,,,,,,,,,,,,,,,,,,,
1721152434.3676138,,,,,,,,,,,,,,,,,14.7,12.91,1.04,KPA,,,,,,,,,,,,
1721152434.377608,,,,,,,,,,,,,,,,,,,,,1.43,2.68,0.01,0.51,,,,,,,,
1721152434.3875997,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.3978055,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.398385,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.40761,,,,,,,,,1820.0,2.0,1.72,15.5,,,,,,,,,,,,,,,,,,,,
1721152434.4081845,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.4175987,,,,,,,,,,,,,,,,,14.7,12.81,1.04,KPA,,,,,,,,,,,,
1721152434.4575937,,,,,,,,,1796.0,2.0,1.89,15.5,,,,,,,,,,,,,,,,,,,,
1721152434.4676008,,,,,,,,,,,,,,,,,14.7,12.83,1.04,KPA,,,,,,,,,,,,
1721152434.4776084,,,,,,,,,,,,,,,,,,,,,1.44,2.68,0.01,0.51,,,,,,,,
1721152434.4875965,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.497626,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.498203,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.5076,,,,,,,,,1806.0,2.0,1.78,15.5,,,,,,,,,,,,,,,,,,,,
1721152434.5081763,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.5176067,,,,,,,,,,,,,,,,,14.7,12.76,1.04,KPA,,,,,,,,,,,,
1721152434.5593817,,,,,,,,,2013.0,2.0,1.72,14.5,,,,,,,,,,,,,,,,,,,,
1721152434.5676134,,,,,,,,,,,,,,,,,14.7,12.77,1.04,KPA,,,,,,,,,,,,
1721152434.577582,,,,,,,,,,,,,,,,,,,,,1.51,2.68,0.01,0.51,,,,,,,,
1721152434.5892756,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.5976143,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.5981915,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.6075823,,,,,,,,,2007.0,2.0,1.73,14.5,,,,,,,,,,,,,,,,,,,,
1721152434.6081593,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.6176043,,,,,,,,,,,,,,,,,14.7,12.45,1.04,KPA,,,,,,,,,,,,
1721152434.6576006,,,,,,,,,1811.0,2.0,1.72,14.5,,,,,,,,,,,,,,,,,,,,
1721152434.667584,,,,,,,,,,,,,,,,,14.7,12.53,1.04,KPA,,,,,,,,,,,,
1721152434.677588,,,,,,,,,,,,,,,,,,,,,1.43,2.68,0.01,0.51,,,,,,,,
1721152434.6876128,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.697629,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.6982002,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.707611,,,,,,,,,1814.0,2.0,1.72,14.5,,,,,,,,,,,,,,,,,,,,
1721152434.7081802,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.7194858,,,,,,,,,,,,,,,,,14.7,12.64,1.04,KPA,,,,,,,,,,,,
1721152434.7576404,,,,,,,,,1849.0,2.0,1.72,13.7,,,,,,,,,,,,,,,,,,,,
1721152434.7676568,,,,,,,,,,,,,,,,,14.7,12.56,1.04,KPA,,,,,,,,,,,,
1721152434.7776089,,,,,,,,,,,,,,,,,,,,,1.46,2.68,0.01,0.51,,,,,,,,
1721152434.7876046,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.7976024,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.79819,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.8075926,,,,,,,,,1840.0,2.0,1.72,13.7,,,,,,,,,,,,,,,,,,,,
1721152434.8081782,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.817603,,,,,,,,,,,,,,,,,14.7,12.76,1.04,KPA,,,,,,,,,,,,
1721152434.8575757,,,,,,,,,1867.0,2.0,1.72,13.7,,,,,,,,,,,,,,,,,,,,
1721152434.8676043,,,,,,,,,,,,,,,,,14.7,12.8,1.04,KPA,,,,,,,,,,,,
1721152434.8776069,,,,,,,,,,,,,,,,,,,,,1.47,2.68,0.01,0.51,,,,,,,,
1721152434.8875933,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.8976197,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.8982096,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.9075959,,,,,,,,,1848.0,2.0,1.72,13.7,,,,,,,,,,,,,,,,,,,,
1721152434.9081662,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152434.9175863,,,,,,,,,,,,,,,,,14.7,12.81,1.04,KPA,,,,,,,,,,,,
1721152434.9575791,,,,,,,,,1854.0,2.0,1.72,14.1,,,,,,,,,,,,,,,,,,,,
1721152434.967592,,,,,,,,,,,,,,,,,14.7,12.79,1.04,KPA,,,,,,,,,,,,
1721152434.9786398,,,,,,,,,,,,,,,,,,,,,1.47,2.68,0.01,0.51,,,,,,,,
1721152434.987582,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152434.997586,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152434.9981725,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721152435.0075777,,,,,,,,,1913.0,2.0,1.72,14.1,,,,,,,,,,,,,,,,,,,,
1721152435.0081613,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721152435.0175838,,,,,,,,,,,,,,,,,14.7,12.79,1.04,KPA,,,,,,,,,,,,
1721152435.057568,,,,,,,,,1774.0,2.0,1.72,14.1,,,,,,,,,,,,,,,,,,,,
1721152435.067599,,,,,,,,,,,,,,,,,14.7,12.85,1.04,KPA,,,,,,,,,,,,
1721152435.0793333,,,,,,,,,,,,,,,,,,,,,1.43,2.68,0.01,0.51,,,,,,,,
1721152435.087572,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.55,0.01,0.04,,,,
1721152435.097589,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721152435.09819,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
