"Time","data Analog Input #2"
1728835952507,1.92
1728835954207,1.92
1728835954313,1.91
1728835954512,1.9
1728835955017,1.89
1728835955522,1.88
1728835955622,1.87
1728835955724,1.86
1728835955922,1.85
1728835956026,1.83
1728835956126,1.79
1728835956230,1.77
1728835956327,1.78
1728835956432,1.8
1728835956537,1.98
1728835956637,2.17
1728835956842,2.47
1728835956942,2.54
1728835957042,2.57
1728835957142,2.78
1728835957242,2.9
1728835957542,2.94
1728835957642,2.93
1728835957742,2.91
1728835957845,2.85
1728835957945,2.81
1728835958042,2.75
1728835958142,2.72
1728835958247,2.58
1728835958347,2.52
1728835958447,2.5
1728835958547,2.39
1728835958647,2.35
1728835958747,2.29
1728835969517,2.87
1728835969820,2.92
1728835969917,2.91
1728835970022,2.9
1728835970122,2.85
1728835970222,2.8
1728835971832,2.65
1728835973573,2.46
1728836000513,2.51
1728836001321,2.57
1728836002144,2.39
1728836005531,2.86
1728836005633,2.59
1728836006342,1.64
1728836011702,2.6
1728836014885,2.63
1728836015286,2.72
1728836015392,2.79
1728836015691,2.54
1728836016101,2.68
1728836018477,1.75
1728836018581,1.58
1728836018686,1.63
1728836018991,1.53
1728836019402,1.67
1728836025557,1.66
1728836025966,1.47
1728836026278,1.68
1728836027191,2.43
1728836027400,2.77
1728836027500,2.84
1728836029781,2.22
1728836032872,1.93
1728836033476,2.2
1728836034726,1.82
1728836035241,2.5
1728836038231,1.89
1728836038437,1.81
1728836038849,2.32
1728836039156,2.16
1728836041308,1.74
1728836042116,1.56
1728836042521,1.54
1728836042621,1.85
1728836042826,1.78
1728836043641,2.23
1728836045086,2.3
1728836045191,2.42
1728836045292,2.69
1728836045498,2.56
1728836046202,2.33
1728836047642,1.41
1728836047745,1.34
1728836048355,1.86
1728836048461,1.88
1728836049492,1.98
1728836050110,1.9
1728836050320,1.8
1728836051040,2.11
1728836051145,2.17
1728836051245,2.76
1728836051350,2.81
1728836051457,2.88
1728836051560,2.95
1728836051666,2.67
1728836051865,2.94
1728836051972,2.82
1728836052070,2.62
1728836052281,2.25
1728836052386,2.52
1728836052590,2.71
1728836052695,2.38
1728836053000,2.1
1728836053100,2.13
1728836053309,1.87
1728836053511,1.79
1728836054230,2.29
1728836054337,2.27
1728836054435,2.34
1728836054935,1.52
1728836055035,1.29
1728836055240,2.28
1728836055442,2.64
1728836055750,2.58
1728836056055,1.07
1728836056255,0.91
1728836056455,1.91
1728836056560,1.71
1728836056660,1.3
1728836056766,1.32
1728836056870,1.5
1728836056971,1.65
1728836057484,1.49
1728836057582,1.39
1728836057680,1.55
1728836057780,1.77
1728836057880,2.26
1728836057980,1.96
1728836058080,1.83
1728836058185,1.69
1728836058286,1.76
1728836058485,1.59
1728836058685,1.4
1728836058785,1.38
1728836058885,1.45
1728836059089,1.72
1728836059696,1.24
1728836059896,1.57
1728836060102,1.92
1728836060200,2.35
1728836060305,2.41
1728836060510,2.45
1728836060616,2.44
1728836060715,2.61
1728836060820,2.53
1728836061240,2.15
1728836061447,2.49
1728836061760,2.36
1728836061865,2.21
1728836062066,2.01
1728836062276,1.97
1728836062685,1.99
1728836063300,2
1728836063400,2.04
1728836063505,2.06
1728836063605,2.05
1728836063711,2.03
1728836063810,2.12
1728836063910,2.18
1728836064015,2.14
1728836064221,2.19
1728836064321,2.24
1728836064422,2.37
1728836064520,2.4
1728836064625,2.55
1728836064725,2.7
1728836064930,3.19
1728836065130,3.51
1728836065230,3.5
1728836065335,3.25
1728836065435,3.04
1728836065635,3.33
1728836065735,3.45
1728836066136,3.44
1728836066235,3.41
1728836066337,3.37
1728836066440,3.36
1728836066545,3.35
1728836066645,3.32
1728836067045,3.27
1728836067145,3.23
1728836067245,3.16
1728836067345,3
1728836067445,2.83
1728836067550,2.66
1728836067652,2.47
1728836067753,2.31
1728836067852,1.94
1728836067950,1.62
1728836068050,1.19
1728836068150,0.86
1728836068250,0.59
1728836068450,0.61
1728836068555,0.69
1728836068655,0.71
1728836068755,0.75
1728836068855,0.84
1728836068955,0.9
1728836069057,0.99
1728836069155,1.06
1728836069255,1.15
1728836069358,1.27
1728836069457,1.42
1728836069555,1.51
1728836069655,1.61
1728836069760,1.7
1728836069861,1.84
1728836069960,1.95
1728836070060,2.02

