timestamp,RPM,TPS,Fuel Open Time,Ignition Angle,Barometer,MAP,Lambda,Pressure Type,Analog Input #1,Analog Input #2,Analog Input #3,Analog Input #4,Analog Input #5,Analog Input #6,Analog Input #7,Analog Input #8,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Driven Avg Wheel Speed,Non-Driven Avg Wheel Speed,Ignition Compensation,Ignition Cut Percentage,Driven Wheel Speed #1,Driven Wheel Speed #2,Non-Driven Wheel Speed #1,Non-Driven Wheel Speed #2,Battery Volt,Air Temp,Coolant Temp,Temp Type
1721153748.5412626,2100.0,1.9,1.79,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721153748.5512443,2100.0,1.9,1.79,6.4,14.7,12.49,0.98,KPA,,,,,,,,,,,,,,,,,,,,,,,,
1721153748.5612361,2100.0,1.9,1.79,6.4,14.7,12.49,0.98,KPA,1.52,2.22,0.01,0.51,,,,,,,,,,,,,,,,,,,,
1721153748.5712564,2100.0,1.9,1.79,6.4,14.7,12.49,0.98,KPA,1.52,2.22,0.01,0.51,0.01,0.57,0.01,0.04,,,,,,,,,,,,,,,,
1721153748.5831676,2100.0,1.9,1.79,6.4,14.7,12.49,0.98,KPA,1.52,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,
1721153748.5837498,2100.0,1.9,1.79,6.4,14.7,12.49,0.98,KPA,1.52,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1721153748.5912495,2127.0,2.0,1.79,6.4,14.7,12.49,0.98,KPA,1.52,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
1721153748.5918286,2127.0,2.0,1.79,6.4,14.7,12.49,0.98,KPA,1.52,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.6012444,2127.0,2.0,1.79,6.4,14.7,12.72,0.98,KPA,1.52,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.641241,2053.0,2.0,1.79,5.0,14.7,12.72,0.98,KPA,1.52,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.6512225,2053.0,2.0,1.79,5.0,14.7,12.39,0.98,KPA,1.52,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.6612368,2053.0,2.0,1.79,5.0,14.7,12.39,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.6712525,2053.0,2.0,1.79,5.0,14.7,12.39,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.6812696,2053.0,2.0,1.79,5.0,14.7,12.39,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.6818419,2053.0,2.0,1.79,5.0,14.7,12.39,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.6912522,2107.0,2.0,1.78,5.0,14.7,12.39,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.6918323,2107.0,2.0,1.78,5.0,14.7,12.39,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.7012322,2107.0,2.0,1.78,5.0,14.7,12.56,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.7412527,2096.0,1.9,1.78,5.0,14.7,12.56,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.751236,2096.0,1.9,1.78,5.0,14.7,12.43,0.98,KPA,1.53,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.7612288,2096.0,1.9,1.78,5.0,14.7,12.43,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.7712486,2096.0,1.9,1.78,5.0,14.7,12.43,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.7825391,2096.0,1.9,1.78,5.0,14.7,12.43,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.7831202,2096.0,1.9,1.78,5.0,14.7,12.43,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.7912662,2100.0,1.9,1.78,5.0,14.7,12.43,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.7918382,2100.0,1.9,1.78,5.0,14.7,12.43,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8012574,2100.0,1.9,1.78,5.0,14.7,12.53,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8412473,2101.0,1.9,1.78,5.0,14.7,12.53,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8512309,2101.0,1.9,1.78,5.0,14.7,12.49,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8612509,2101.0,1.9,1.78,5.0,14.7,12.49,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8712673,2101.0,1.9,1.78,5.0,14.7,12.49,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8812582,2101.0,1.9,1.78,5.0,14.7,12.49,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8818324,2101.0,1.9,1.78,5.0,14.7,12.49,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8912396,2140.0,2.0,1.79,5.0,14.7,12.49,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.8918128,2140.0,2.0,1.79,5.0,14.7,12.49,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.9012291,2140.0,2.0,1.79,5.0,14.7,12.6,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.9412415,2079.0,1.9,1.78,5.0,14.7,12.6,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.9512239,2079.0,1.9,1.78,5.0,14.7,12.51,0.98,KPA,1.55,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.9612157,2079.0,1.9,1.78,5.0,14.7,12.51,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.9712312,2079.0,1.9,1.78,5.0,14.7,12.51,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.9812453,2079.0,1.9,1.78,5.0,14.7,12.51,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.981826,2079.0,1.9,1.78,5.0,14.7,12.51,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.9912372,2072.0,2.0,1.78,5.0,14.7,12.51,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153748.9918149,2072.0,2.0,1.78,5.0,14.7,12.51,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.001224,2072.0,2.0,1.78,5.0,14.7,12.61,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.041278,2095.0,1.9,1.79,5.9,14.7,12.61,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.0512173,2095.0,1.9,1.79,5.9,14.7,12.52,0.98,KPA,1.51,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.0612392,2095.0,1.9,1.79,5.9,14.7,12.52,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.0712416,2095.0,1.9,1.79,5.9,14.7,12.52,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.0812438,2095.0,1.9,1.79,5.9,14.7,12.52,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.0818284,2095.0,1.9,1.79,5.9,14.7,12.52,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.0912287,2079.0,1.9,1.79,5.9,14.7,12.52,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.0918107,2079.0,1.9,1.79,5.9,14.7,12.52,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.1012177,2079.0,1.9,1.79,5.9,14.7,12.69,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1721153749.1112077,2079.0,1.9,1.79,5.9,14.7,12.69,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.141255,2036.0,1.9,1.78,5.9,14.7,12.69,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.1512427,2036.0,1.9,1.78,5.9,14.7,12.57,0.98,KPA,1.56,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.1612291,2036.0,1.9,1.78,5.9,14.7,12.57,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.57,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.1712248,2036.0,1.9,1.78,5.9,14.7,12.57,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.1812491,2036.0,1.9,1.78,5.9,14.7,12.57,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.181829,2036.0,1.9,1.78,5.9,14.7,12.57,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.1912143,2042.0,2.0,1.77,9.2,14.7,12.57,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.1917932,2042.0,2.0,1.77,9.2,14.7,12.57,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.2012167,2042.0,2.0,1.77,9.2,14.7,12.63,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
1721153749.2412348,2076.0,1.9,1.78,9.2,14.7,12.63,0.98,KPA,1.47,2.22,0.01,0.51,0.01,0.58,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,106.0,199.6,C
